datetime,id,mmsi,NavigationalStatus,SpeedOverGround_SOG,CourseOverGround_COG,Heading,VesselType,width,length,draught,Rotation,Speed,Rudder,WindDirection,WindSpeed_Knots,Class,Vessel_SK,Time_SK,Route_SK,Weather_SK,Position_SK,Sensor_SK,Navigation_SK,FuelConsumption_Liters,ShipSpeed_Knots,EngineTemperature_C,TravelDistance_Miles,Latitude,Longitude,WaveHeight_Meters,AirTemperature_C,DeparturePort,ArrivalPort,RouteName,VesselName,IMONumber,Flag,YearBuilt,GrossTonnage,Deadweight,SensorType,Status,LastCalibrationDate
2024-01-01 00:10:00,10,219027820,Unknown value,0.1,,,Sailing,4.0,13.0,,555.16,43.47,-3.68,281.42,15.99,1,11,1466,2,7,86,36,4,336.12,43.47,101.01,120.29,-4.043439,105.289758,2.17,31.05,Surabaya,Belawan,Surabaya to Belawan,Ship_11,IMO9178993,Marshall Islands,1996,42659,55535,Anemometer,Maintenance Required,2024-01-09
2024-01-01 00:11:00,11,219263000,Moored,0.0,353.9,100.0,Military,12.0,48.0,4.2,419.51,39.88,-2.81,-4.51,33.49,1,12,1214,8,7,46,3,12,465.66,39.88,100.76,64.21,-4.47624,121.461963,3.75,31.75,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_12,IMO9442040,Liberia,2022,7227,20555,Engine Sensor,Maintenance Required,2023-05-09
2024-01-01 00:12:00,12,219028878,Unknown value,0.0,93.7,93.0,Sailing,4.0,15.0,,511.94,36.47,2.6,-29.7,-15.61,1,13,1330,6,4,90,15,6,332.0,36.47,89.61,100.55,4.360531,99.581977,4.05,24.72,Port Klang,Makassar,Port Klang to Makassar,Ship_13,IMO9039295,Panama,1993,33167,41884,Anemometer,Inactive,2024-01-26
2024-01-01 00:13:00,13,219023719,Unknown value,0.0,8.7,,Pleasure,3.0,8.0,,467.63,11.25,-41.53,105.64,4.39,1,14,1458,6,6,58,38,13,233.71,11.25,113.14,27.48,0.375241,133.331904,2.73,24.1,Port Klang,Makassar,Port Klang to Makassar,Ship_14,IMO9284311,Singapore,1998,21748,29123,Gyroscope,Inactive,2023-07-18
2024-01-01 00:14:00,14,265771450,Unknown value,0.0,308.4,,Sailing,3.0,13.0,,-482.81,20.37,-5.06,-24.26,-20.5,1,15,1087,7,7,28,33,1,137.11,20.37,102.57,21.47,-2.951397,129.020121,1.18,30.56,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_15,IMO9240540,Panama,1992,33296,42261,AIS,Active,2022-10-29
2024-01-01 00:15:00,15,231794000,Moored,0.0,327.5,242.0,Cargo,13.0,83.0,3.6,-158.44,41.82,-27.44,67.19,43.1,1,16,1372,7,5,14,18,8,345.85,41.82,114.5,118.11,-1.70631,133.967792,2.17,32.05,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_16,IMO9916370,Indonesia,2000,46332,59879,AIS,Active,2022-10-25
2024-01-01 00:16:00,16,265811820,Unknown value,0.0,,,Sailing,3.0,10.0,,505.11,-5.82,-28.7,181.21,-6.55,1,17,1099,6,5,9,23,16,102.36,5.82,115.66,6.44,3.249166,119.896772,0.58,31.12,Port Klang,Makassar,Port Klang to Makassar,Ship_17,IMO9647056,Panama,2022,25785,39960,Anemometer,Active,2023-07-09
2024-01-01 00:17:00,17,219014192,Unknown value,0.0,224.1,,Fishing,4.0,12.0,,325.96,35.94,24.68,-139.78,45.27,1,18,1871,4,2,26,43,5,422.83,35.94,78.37,99.59,-9.003168,133.948553,2.67,27.22,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_18,IMO9415381,Liberia,2012,2146,5043,GPS,Inactive,2023-01-17
2024-01-01 00:18:00,18,219026303,Unknown value,0.0,,,Passenger,6.0,24.0,,-360.07,-12.2,12.53,-122.3,20.84,1,19,1663,9,7,2,3,7,161.3,12.2,104.03,24.86,-3.117965,114.674036,1.21,29.45,Surabaya,Makassar,Surabaya to Makassar,Ship_19,IMO9236950,Marshall Islands,2020,48969,53942,Engine Sensor,Maintenance Required,2023-05-09
2024-01-01 00:19:00,19,273390790,At anchor,0.0,97.8,222.0,Cargo,13.0,96.0,5.3,240.23,29.46,-17.91,36.66,4.38,1,20,1130,6,6,75,30,3,285.87,29.46,85.88,63.88,-9.618184,117.197224,0.3,29.21,Port Klang,Makassar,Port Klang to Makassar,Ship_20,IMO9478206,Panama,2010,27782,47148,Engine Sensor,Active,2023-08-31
2024-01-01 00:20:00,20,219005991,Unknown value,0.1,,,Dredging,3.0,9.0,,-242.64,-6.36,-2.92,306.93,-1.19,1,21,1661,4,1,81,45,2,318.18,6.36,111.82,4.92,4.827453,108.644419,3.45,27.22,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_21,IMO9757448,Singapore,1991,12467,16021,AIS,Inactive,2022-10-07
2024-01-01 00:21:00,21,219029104,Unknown value,0.0,,,Pleasure,4.0,13.0,,-234.38,40.33,-36.01,-61.0,15.61,1,22,1308,3,4,34,17,2,213.12,40.33,106.64,26.79,-5.001514,119.258267,4.17,30.13,Surabaya,Belawan,Surabaya to Belawan,Ship_22,IMO9232019,Liberia,2020,32550,36262,GPS,Active,2023-01-21
2024-01-01 00:22:00,22,235079183,Unknown value,0.0,0.0,,Pleasure,4.0,11.0,,-65.11,-15.89,16.75,-77.03,4.28,1,23,1769,4,3,19,32,10,348.74,15.89,79.94,46.41,-5.163619,109.857703,2.66,24.37,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_23,IMO9441693,Liberia,2018,2020,3204,GPS,Maintenance Required,2022-07-08
2024-01-01 00:23:00,23,219025741,Unknown value,0.0,,,Pleasure,4.0,11.0,,-732.02,15.29,18.48,5.26,0.3,1,24,1343,3,3,39,46,9,162.6,15.29,116.94,20.52,1.470476,120.182459,3.31,32.62,Surabaya,Belawan,Surabaya to Belawan,Ship_24,IMO9747994,Singapore,2005,27306,29472,GPS,Inactive,2022-03-29
2024-01-01 00:24:00,24,219000174,Moored,0.0,283.1,223.0,Military,,,2.5,-488.86,29.44,-12.85,167.83,37.7,1,25,1491,2,7,82,7,18,65.58,29.44,104.17,76.87,1.006347,98.003761,3.95,32.25,Surabaya,Belawan,Surabaya to Belawan,Ship_25,IMO9162492,Marshall Islands,2009,38681,55906,Gyroscope,Active,2023-06-26
2024-01-01 00:25:00,25,219002409,Unknown value,0.0,0.0,,Fishing,5.0,15.0,,-187.63,33.85,22.72,-84.81,15.44,1,26,1413,5,4,13,39,6,481.67,33.85,117.43,76.54,-8.937184,139.279829,0.17,30.34,Port Klang,Belawan,Port Klang to Belawan,Ship_26,IMO9983903,Panama,1990,19569,25552,Engine Sensor,Maintenance Required,2023-03-26
2024-01-01 00:26:00,26,219026301,Unknown value,0.1,,,Passenger,6.0,23.0,,568.88,30.21,4.59,-112.89,-5.9,1,27,1805,2,8,5,14,6,194.02,30.21,80.1,60.73,-7.794191,119.648758,3.56,32.05,Surabaya,Belawan,Surabaya to Belawan,Ship_27,IMO9466889,Indonesia,2020,42997,61402,Fuel Meter,Active,2023-03-27
2024-01-01 00:27:00,27,219007035,Unknown value,0.0,0.0,,Passenger,6.0,20.0,,-629.33,39.55,2.97,209.28,12.55,1,28,1385,6,9,50,15,10,371.06,39.55,113.49,87.53,-5.25861,119.811785,2.8,22.09,Port Klang,Makassar,Port Klang to Makassar,Ship_28,IMO9575698,Indonesia,2009,36503,55157,Anemometer,Inactive,2024-01-26
2024-01-01 00:28:00,28,373332000,At anchor,0.0,358.5,279.0,Cargo,32.0,229.0,7.2,494.6,-6.7,0.21,55.42,31.96,1,29,1191,3,3,23,44,9,278.39,6.7,103.4,4.85,-0.130652,104.326663,1.84,31.31,Surabaya,Belawan,Surabaya to Belawan,Ship_29,IMO9596345,Panama,2007,6897,24995,Gyroscope,Active,2023-02-14
2024-01-01 00:29:00,29,265621730,Unknown value,0.0,268.0,,Sailing,3.0,10.0,,513.95,40.99,-0.85,103.32,21.71,1,30,1955,6,5,88,12,9,351.05,40.99,97.61,62.76,-8.063784,124.560675,3.18,32.99,Port Klang,Makassar,Port Klang to Makassar,Ship_30,IMO9010108,Singapore,1997,1833,11845,Engine Sensor,Maintenance Required,2022-03-04
2024-01-01 00:30:00,30,219004634,Unknown value,0.3,,,Pleasure,,,,378.59,27.28,-37.48,253.57,24.43,1,31,1276,9,4,29,8,3,99.92,27.28,111.03,55.04,-7.950457,134.019235,3.69,26.6,Surabaya,Makassar,Surabaya to Makassar,Ship_31,IMO9210832,Liberia,2002,10722,22829,Anemometer,Inactive,2023-06-16
2024-01-01 00:31:00,31,219014266,Unknown value,0.0,0.0,,Port tender,4.0,8.0,,-75.85,-14.55,1.99,-31.25,18.69,1,32,1160,1,6,72,16,12,283.48,14.55,101.64,38.83,-8.533035,95.554644,1.38,30.4,Port Klang,Belawan,Port Klang to Belawan,Ship_32,IMO9927174,Liberia,2019,20170,29210,Fuel Meter,Maintenance Required,2023-04-17
2024-01-01 00:32:00,32,219007731,Unknown value,0.0,0.0,,Law enforcement,2.0,8.0,,-487.71,41.65,-24.94,75.93,-12.82,1,33,1459,6,4,26,41,11,226.5,41.65,103.48,95.24,-3.280412,101.768917,3.49,28.06,Port Klang,Makassar,Port Klang to Makassar,Ship_33,IMO9183484,Indonesia,2015,18417,36787,GPS,Maintenance Required,2023-03-26
2024-01-01 00:33:00,33,219364000,Moored,0.0,329.8,60.0,Cargo,15.0,74.0,5.0,-561.03,32.21,-22.57,228.38,-10.51,1,34,1313,9,8,79,34,14,253.33,32.21,82.68,36.46,2.395754,95.544786,1.29,27.37,Surabaya,Makassar,Surabaya to Makassar,Ship_34,IMO9038952,Panama,2007,43997,48856,Anemometer,Maintenance Required,2023-12-05
2024-01-01 00:34:00,34,219014412,Moored,0.0,276.7,112.0,Sailing,9.0,27.0,2.2,539.71,11.93,-16.37,105.3,29.87,1,35,1021,4,3,57,46,19,484.79,11.93,110.85,35.34,-4.149014,134.505375,2.33,23.2,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_35,IMO9384456,Singapore,2020,8654,11698,GPS,Inactive,2022-03-29
2024-01-01 00:35:00,35,577534000,Moored,0.0,354.0,45.0,Tug,20.0,82.0,6.0,365.81,2.22,-21.9,-30.7,-9.67,1,36,1252,2,5,1,24,10,111.33,2.22,102.52,4.68,-1.201657,124.079014,2.99,24.49,Surabaya,Belawan,Surabaya to Belawan,Ship_36,IMO9316609,Singapore,2011,48014,64980,AIS,Inactive,2022-08-25
2024-01-01 00:36:00,36,255806370,Moored,0.0,171.6,42.0,Cargo,23.0,141.0,6.6,290.11,13.48,-30.4,204.38,20.13,1,37,1747,4,1,28,29,19,389.62,13.48,112.22,23.63,-0.694614,123.422009,1.4,23.08,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_37,IMO9225673,Liberia,2021,27518,28724,Gyroscope,Active,2022-08-15
2024-01-01 00:37:00,37,219016663,Moored,0.0,357.4,262.0,HSC,6.0,21.0,2.1,551.89,40.0,-3.85,205.61,7.43,1,38,1856,1,6,62,16,5,198.65,40.0,87.58,98.14,-3.621006,108.273047,2.96,30.41,Port Klang,Belawan,Port Klang to Belawan,Ship_38,IMO9297345,Marshall Islands,2016,17165,21602,Fuel Meter,Maintenance Required,2023-04-17
2024-01-01 00:38:00,38,220001000,Moored,0.0,349.3,288.0,Sailing,6.0,25.0,2.5,313.9,-17.37,24.16,331.22,-15.49,1,39,1560,3,5,47,5,9,180.66,17.37,86.59,34.86,-7.794253,132.949361,3.06,32.28,Surabaya,Belawan,Surabaya to Belawan,Ship_39,IMO9629539,Marshall Islands,2021,15983,22977,Engine Sensor,Inactive,2022-03-13
2024-01-01 00:39:00,39,219024815,Unknown value,0.0,,,Pleasure,5.0,16.0,,-726.66,34.94,11.01,0.84,28.44,1,40,1474,9,8,78,5,1,171.85,34.94,71.2,79.49,-6.05399,137.431816,3.83,29.9,Surabaya,Makassar,Surabaya to Makassar,Ship_40,IMO9705186,Indonesia,2009,2245,10419,Engine Sensor,Inactive,2022-03-13
2024-01-01 00:40:00,40,219006386,Unknown value,0.0,216.5,,Passenger,6.0,20.0,,329.97,42.49,-5.32,146.29,-20.54,1,41,1058,5,9,98,30,15,206.95,42.49,108.43,86.8,-2.226646,128.544491,2.75,23.48,Port Klang,Belawan,Port Klang to Belawan,Ship_41,IMO9671149,Indonesia,2011,6062,19316,Engine Sensor,Active,2023-08-31
2024-01-01 00:41:00,41,230642000,Moored,0.0,185.4,166.0,Cargo,27.0,187.0,5.8,298.84,29.32,-29.46,-111.85,19.54,1,42,1510,6,8,59,5,4,210.7,29.32,86.52,27.77,4.120821,125.408772,1.34,33.95,Port Klang,Makassar,Port Klang to Makassar,Ship_42,IMO9395418,Marshall Islands,1990,30892,36337,Engine Sensor,Inactive,2022-03-13
2024-01-01 00:42:00,42,311379000,Under way using engine,13.4,34.1,34.0,Cargo,29.0,190.0,9.9,-120.3,-4.14,24.44,-60.77,25.24,1,43,1681,3,8,31,43,7,171.84,4.14,86.36,7.69,-9.604295,95.137277,1.94,28.8,Surabaya,Belawan,Surabaya to Belawan,Ship_43,IMO9951773,Panama,1999,3856,7046,GPS,Inactive,2023-01-17
2024-01-01 00:43:00,43,219005787,Moored,0.0,,,Towing,5.0,13.0,2.0,-649.69,-4.44,-33.87,-69.18,1.8,1,44,1475,5,3,70,13,6,350.37,4.44,104.43,5.36,2.799769,139.846769,4.13,22.4,Port Klang,Belawan,Port Klang to Belawan,Ship_44,IMO9547815,Marshall Islands,2008,4338,16934,Fuel Meter,Active,2022-08-22
2024-01-01 00:44:00,44,219026520,Unknown value,0.1,207.0,,Sailing,8.0,13.0,,-497.13,0.71,-3.07,4.02,44.29,1,45,1699,8,4,49,35,15,71.47,0.71,82.64,1.37,-3.447708,130.923959,2.26,22.38,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_45,IMO9583524,Panama,2018,21535,41307,Gyroscope,Maintenance Required,2022-09-23
2024-01-01 00:45:00,45,255805988,At anchor,0.0,69.1,41.0,Cargo,14.0,99.0,6.2,353.76,39.92,-17.18,81.12,25.23,1,46,1975,6,4,5,49,6,199.53,39.92,115.45,32.49,4.18157,124.804565,0.92,32.94,Port Klang,Makassar,Port Klang to Makassar,Ship_46,IMO9821592,Panama,1993,18074,35071,Anemometer,Inactive,2022-07-11
2024-01-01 00:46:00,46,219027249,Unknown value,0.1,351.6,,Pleasure,4.0,20.0,,-147.05,36.05,15.96,245.47,-10.22,1,47,1782,4,5,31,25,7,176.09,36.05,96.9,38.93,-6.881098,135.513803,0.9,26.93,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_47,IMO9685144,Indonesia,2010,29865,45988,GPS,Active,2022-08-14
2024-01-01 00:47:00,47,219021244,Moored,0.0,323.9,36.0,Tug,12.0,30.0,4.8,332.56,-14.25,-18.29,78.17,29.77,1,48,1189,2,9,37,14,3,388.14,14.25,118.47,35.94,0.429902,110.285482,0.75,24.82,Surabaya,Belawan,Surabaya to Belawan,Ship_48,IMO9926237,Panama,2007,16079,22980,Fuel Meter,Active,2023-03-27
2024-01-01 00:48:00,48,219008177,Unknown value,0.0,,,Sailing,4.0,12.0,,542.59,-4.91,-3.85,-79.59,7.55,1,49,1957,9,9,79,44,13,115.92,4.91,73.83,7.43,-7.989367,99.192923,4.24,30.2,Surabaya,Makassar,Surabaya to Makassar,Ship_49,IMO9728779,Indonesia,1995,40503,56043,Gyroscope,Active,2023-02-14
2024-01-01 00:49:00,49,219012563,Moored,0.0,220.7,60.0,Tug,5.0,10.0,1.7,-598.29,39.52,-20.33,263.36,20.98,1,50,1686,1,1,15,46,2,473.31,39.52,86.84,86.33,4.986341,136.224016,1.35,25.54,Port Klang,Belawan,Port Klang to Belawan,Ship_50,IMO9770937,Marshall Islands,1990,25084,29234,GPS,Inactive,2022-03-29
2024-01-01 00:50:00,50,219027290,Unknown value,0.0,343.4,343.0,Pleasure,3.0,8.0,,448.05,44.19,-14.13,315.24,30.77,1,51,1957,1,8,52,26,3,126.73,44.19,89.07,77.09,-8.58289,102.938226,4.0,23.28,Port Klang,Belawan,Port Klang to Belawan,Ship_51,IMO9464851,Marshall Islands,2010,49390,51711,AIS,Maintenance Required,2023-07-20
2024-01-01 00:51:00,51,219022162,Unknown value,0.1,286.3,,Pleasure,4.0,,,400.49,29.06,24.4,228.96,-17.47,1,52,1562,4,1,69,18,13,216.51,29.06,106.52,39.28,-3.953179,135.04701,2.18,26.58,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_52,IMO9569825,Liberia,2014,4086,6841,AIS,Active,2022-10-25
2024-01-01 00:52:00,52,311818000,Moored,0.0,17.0,51.0,Cargo,11.0,82.0,2.9,-69.51,32.91,-22.86,354.54,43.9,1,53,1875,7,2,92,20,9,139.87,32.91,80.65,57.2,1.25875,104.3671,4.36,31.57,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_53,IMO9353984,Singapore,1991,39855,58932,Gyroscope,Maintenance Required,2022-03-29
2024-01-01 00:53:00,53,244750397,Under way using engine,12.6,137.4,137.0,Cargo,14.0,89.0,3.7,101.57,18.77,-19.42,-85.95,22.55,1,54,1566,1,7,97,34,19,179.01,18.77,88.77,47.57,2.885417,116.715714,1.2,28.31,Port Klang,Belawan,Port Klang to Belawan,Ship_54,IMO9839300,Marshall Islands,1999,6499,14951,Anemometer,Maintenance Required,2023-12-05
2024-01-01 00:54:00,54,219000217,Moored,0.0,20.2,,Military,9.0,54.0,3.6,-739.24,-14.79,-34.81,-106.09,-5.51,1,55,1243,9,8,11,7,18,392.46,14.79,115.53,17.81,2.019816,118.127124,0.47,28.35,Surabaya,Makassar,Surabaya to Makassar,Ship_55,IMO9999526,Marshall Islands,2016,37337,47355,Gyroscope,Active,2023-06-26
2024-01-01 00:55:00,55,265002810,Unknown value,0.0,,,Pleasure,2.0,12.0,,401.61,43.7,11.17,142.07,-11.58,1,56,1831,4,1,43,47,5,264.38,43.7,75.73,67.89,5.13668,120.567604,3.57,32.75,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_56,IMO9952614,Singapore,2011,23748,31588,Anemometer,Maintenance Required,2022-02-02
2024-01-01 00:56:00,56,219996000,Moored,0.0,200.0,238.0,Towing,7.0,21.0,3.4,-457.06,42.8,18.8,265.11,-10.52,1,57,1504,3,3,70,10,10,123.16,42.8,107.27,43.08,-6.381416,108.730094,4.47,31.19,Surabaya,Belawan,Surabaya to Belawan,Ship_57,IMO9291875,Indonesia,2003,15507,29015,Anemometer,Inactive,2023-12-11
2024-01-01 00:57:00,57,219025508,Unknown value,0.0,0.0,,Pleasure,,,,408.72,-5.87,-28.35,-103.47,-19.86,1,58,1130,1,7,23,15,14,70.99,5.87,105.12,8.09,0.945961,117.285875,2.81,26.84,Port Klang,Belawan,Port Klang to Belawan,Ship_58,IMO9580505,Liberia,2009,47891,52224,Anemometer,Inactive,2024-01-26
2024-01-01 00:58:00,58,219003406,Moored,0.1,150.9,241.0,Tug,4.0,15.0,2.5,-530.56,38.62,20.94,-70.22,29.15,1,59,1484,4,9,40,17,17,153.46,38.62,76.53,104.77,3.699846,106.917951,4.24,32.48,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_59,IMO9763300,Panama,2016,22744,26155,GPS,Active,2023-01-21
2024-01-01 00:59:00,59,219016223,Unknown value,0.0,,,Sailing,4.0,11.0,,-375.46,6.93,-15.65,331.32,-1.13,1,60,1818,9,8,63,11,3,475.52,6.93,104.42,17.08,-5.7972,95.78319,2.79,25.57,Surabaya,Makassar,Surabaya to Makassar,Ship_60,IMO9350008,Liberia,1992,43805,51639,Engine Sensor,Inactive,2023-08-03
2024-01-01 01:00:00,60,219028070,Unknown value,0.0,,,Pleasure,2.0,6.0,,-302.71,27.78,-25.28,72.26,-18.38,1,61,1646,6,8,2,34,7,430.39,27.78,98.49,39.84,5.926379,105.507106,2.25,26.0,Port Klang,Makassar,Port Klang to Makassar,Ship_61,IMO9792427,Liberia,2006,25395,33616,Anemometer,Maintenance Required,2023-12-05
2024-01-01 01:01:00,61,219871000,Unknown value,0.0,310.2,,Fishing,6.0,20.0,,-209.88,26.88,-34.58,101.36,44.68,1,62,1020,6,9,79,27,9,248.08,26.88,84.38,22.34,-6.958937,99.258249,2.9,24.97,Port Klang,Makassar,Port Klang to Makassar,Ship_62,IMO9962080,Singapore,2014,11270,30147,AIS,Inactive,2022-11-04
2024-01-01 01:02:00,62,230987000,Moored,0.0,248.6,38.0,Passenger,31.0,219.0,6.0,-513.34,-7.09,19.67,-156.44,19.46,1,63,1840,1,3,87,21,5,266.9,7.09,85.56,10.99,-4.623038,138.567469,0.15,25.67,Port Klang,Belawan,Port Klang to Belawan,Ship_63,IMO9924510,Singapore,2022,49204,66184,Gyroscope,Active,2022-06-24
2024-01-01 01:03:00,63,219014521,Unknown value,0.0,318.0,,Pleasure,4.0,16.0,,192.28,35.41,-20.51,245.18,36.98,1,64,1166,2,8,86,31,4,454.71,35.41,111.65,86.02,0.707752,135.492457,0.11,31.31,Surabaya,Belawan,Surabaya to Belawan,Ship_64,IMO9130543,Singapore,2017,11795,29275,AIS,Maintenance Required,2022-12-13
2024-01-01 01:04:00,64,219000179,Moored,0.0,186.5,229.0,Military,6.0,25.0,2.5,230.46,-15.73,19.43,159.65,-20.12,1,65,1273,6,1,73,4,3,316.11,15.73,81.55,9.59,-4.012325,133.212652,0.89,28.67,Port Klang,Makassar,Port Klang to Makassar,Ship_65,IMO9291437,Liberia,2003,20288,39786,Engine Sensor,Inactive,2022-09-07
2024-01-01 01:05:00,65,219002998,Unknown value,0.0,314.3,,Pleasure,6.0,17.0,,-356.31,-6.65,-34.42,259.92,41.36,1,66,1387,2,8,47,41,13,446.35,6.65,95.64,15.72,5.043375,115.17087,3.87,30.74,Surabaya,Belawan,Surabaya to Belawan,Ship_66,IMO9853473,Marshall Islands,2001,5543,21584,GPS,Maintenance Required,2023-03-26
2024-01-01 01:06:00,66,219022542,Unknown value,0.0,,,Sailing,4.0,10.0,,-716.94,24.36,-3.63,224.51,39.15,1,67,1600,3,7,30,49,9,271.33,24.36,104.06,53.59,-8.727435,111.918716,2.01,31.67,Surabaya,Belawan,Surabaya to Belawan,Ship_67,IMO9370064,Panama,2009,27465,44793,Anemometer,Inactive,2022-07-11
2024-01-01 01:07:00,67,219014399,Unknown value,0.2,9.5,,Sailing,4.0,12.0,,-259.81,42.45,13.46,345.86,24.2,1,68,1315,4,8,16,17,7,140.04,42.45,76.5,28.09,3.04127,100.211094,3.57,24.35,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_68,IMO9577695,Liberia,2004,34801,48468,GPS,Active,2023-01-21
2024-01-01 01:08:00,68,266416000,Moored,0.0,30.1,145.0,Cargo,18.0,99.0,4.3,384.3,34.19,22.1,-140.97,4.61,1,69,1013,5,1,59,49,8,376.67,34.19,116.62,71.43,0.230296,114.397423,4.14,31.59,Port Klang,Belawan,Port Klang to Belawan,Ship_69,IMO9650024,Liberia,1992,6850,9297,Anemometer,Inactive,2022-07-11
