,Rotation,Speed,Rudder,Apparent_wind_direction,Apparent_wind_speed,Class
155,-78.85,41.97,21.17,292.46,21.35,1
156,-356.69,29.96,23.77,-145.7,24.41,1
157,-178.81,32.52,-27.41,201.17,-15.63,1
158,-607.35,6.83,-20.96,172.83,-11.54,1
159,415.78,-0.37,-29.8,253.19,45.34,1
160,-478.71,12.5,-4.11,-24.37,-13.4,1
161,-625.93,45.51,8.44,-165.36,-5.26,1
162,536.3,18.21,17.53,167.5,12.81,1
163,-564.77,-0.92,-24.46,236.66,20.54,1
164,74.01,-11.53,-42.43,-139.76,-3.0,1
165,136.49,24.93,-39.08,-40.5,38.61,1
166,-464.63,23.72,-15.1,87.64,-12.8,1
167,-70.03,20.56,23.37,322.01,16.52,1
168,545.55,8.09,-5.74,350.13,14.28,1
169,-668.74,-5.88,22.39,22.36,-15.41,1
170,532.12,20.06,-30.81,124.22,27.79,1
171,485.31,9.56,-20.53,133.0,-11.45,1
172,377.66,-3.74,-29.17,47.77,42.22,1
173,82.14,30.37,-24.44,173.42,7.38,1
174,-532.38,-17.47,-25.41,303.13,12.18,1
175,309.33,4.92,-5.01,54.66,-14.19,1
176,-502.45,24.88,-15.57,15.58,36.41,1
177,-585.02,8.56,-1.62,1.81,-5.03,1
178,-538.76,-12.49,6.93,279.64,18.37,1
179,-723.47,-15.41,-20.88,49.98,-4.25,1
180,-319.2,15.5,24.41,-51.39,20.18,1
181,384.68,23.63,-39.2,-135.9,-4.25,1
182,476.92,12.4,-23.73,177.57,20.44,1
183,157.16,20.59,-16.86,244.14,12.11,1
184,-755.38,24.06,6.58,58.63,29.64,1
185,-567.4,-10.26,8.99,303.02,32.23,1
186,146.87,23.66,-12.7,269.37,23.69,1
187,-440.81,14.28,16.04,257.2,10.08,1
188,-339.49,1.38,-17.02,36.78,-9.51,1
189,151.26,33.44,-6.84,-110.82,-11.11,1
190,-126.38,42.86,-34.25,350.25,-1.56,1
191,-669.7,10.77,12.7,17.75,43.82,1
192,452.14,-15.06,-30.94,-142.54,11.14,1
193,-762.71,-10.33,8.1,-109.32,11.99,1
194,254.65,29.83,17.27,213.64,-13.72,1
195,-616.1,41.75,-20.2,-29.7,44.44,1
196,517.62,-11.28,-40.03,11.91,21.62,1
197,-606.83,32.18,-8.74,209.8,27.33,1
198,194.07,39.38,-30.07,286.78,-16.68,1
199,-454.64,8.55,-29.66,221.15,-2.51,1
200,415.35,16.99,-12.04,28.23,19.55,1
201,-469.03,18.7,19.76,76.42,-15.69,1
202,393.66,-5.1,7.04,354.99,-19.75,1
203,-396.06,19.66,12.41,-61.26,10.53,1
204,-361.14,28.96,25.97,65.18,34.69,1
205,-407.33,-10.15,-30.53,315.32,35.19,1
206,-233.07,38.56,-31.7,165.08,34.65,1
207,495.42,-16.73,-17.74,334.16,-7.98,1
208,575.19,-16.08,-19.63,270.5,24.91,1
209,-608.18,10.9,-24.66,305.78,29.46,1
210,-472.06,-11.15,12.34,262.99,-13.83,1
211,-618.99,-0.32,22.47,328.96,1.36,1
212,438.82,42.89,5.35,-13.45,4.96,1
213,-737.05,12.62,19.29,214.24,-14.94,1
214,-567.19,-16.23,0.18,-166.36,23.92,1
215,-572.39,25.33,16.48,340.64,8.09,1
216,-774.06,-13.69,-6.82,290.02,33.72,1
217,-707.49,34.89,4.56,298.36,29.89,1
218,-499.62,29.53,3.7,39.19,-9.18,1
219,312.03,39.11,12.03,168.62,-3.28,1
220,-79.46,39.5,-40.46,103.09,-10.92,1
221,-88.54,40.45,-37.42,-117.15,28.39,1
222,555.0,7.41,1.04,325.3,42.77,1
223,-146.48,43.92,-7.57,295.59,-16.61,1
224,494.99,20.97,0.48,-161.65,19.38,1
225,522.02,-6.31,17.18,-158.68,-10.28,1
226,-440.72,-11.6,22.61,231.48,38.0,1
227,311.25,20.43,-5.47,-8.3,7.8,1
228,278.59,19.51,8.81,357.6,-12.93,1
229,-520.77,-14.02,-28.7,171.79,-9.01,1
230,224.58,4.26,-15.54,20.71,-18.62,1
231,-751.3,33.15,8.15,-150.57,3.48,1
232,-564.48,43.76,-17.35,-89.34,-20.91,1
233,-641.74,33.34,-19.62,25.02,39.87,1
234,-483.28,11.08,12.97,59.83,39.93,1
235,245.28,29.17,-38.18,35.9,43.98,1
236,249.88,31.11,0.24,202.72,22.17,1
237,500.94,1.89,9.13,78.84,-1.59,1
238,206.44,-16.55,-26.86,334.7,-6.09,1
239,-301.25,9.24,-12.99,96.12,-21.15,1
240,-730.38,31.15,1.64,-13.75,32.67,1
241,-659.37,37.06,-21.82,121.97,-14.22,1
242,-731.66,16.35,-33.5,-9.52,24.27,1
243,347.82,-10.08,19.95,87.78,31.72,1
244,-202.35,28.26,-29.36,270.9,-17.84,1
245,168.12,3.44,-4.72,214.45,43.87,1
246,332.11,-7.29,-6.07,84.01,34.44,1
247,-135.37,16.37,-23.65,-159.86,44.95,1
248,-397.95,44.8,25.73,164.5,16.61,1
249,-674.33,-8.28,17.0,-123.58,10.29,1
250,-764.2,13.05,-32.96,68.21,-12.99,1
251,278.72,1.43,8.57,-144.98,32.93,1
252,-749.0,7.98,-26.52,330.51,-19.67,1
253,181.35,10.61,-13.97,25.29,-22.05,1
254,-316.72,23.28,13.64,153.38,31.29,1
255,-341.08,-13.57,-10.53,174.7,32.09,1
256,572.71,17.76,-15.41,287.52,28.61,1
257,-670.21,20.07,-2.49,-37.15,36.87,1
258,347.91,45.49,-29.86,288.82,12.26,1
259,-479.62,24.38,-11.32,-144.12,-3.31,1
260,240.27,36.66,-34.6,45.98,-7.34,1
261,-420.44,-5.53,-16.17,183.06,25.55,1
262,-383.97,-12.06,-37.22,284.74,42.32,1
263,459.35,-1.24,14.51,-102.46,8.4,1
264,457.92,42.92,-33.17,206.26,11.94,1
265,-382.81,-1.21,-23.45,-135.14,-8.4,1
266,-769.97,38.61,-11.37,335.08,43.31,1
267,476.37,-0.0,19.72,284.18,40.07,1
268,266.47,44.93,4.51,18.24,44.91,1
269,352.08,7.22,-32.05,286.74,5.22,1
270,500.33,-13.5,-37.67,12.33,-16.35,1
271,-270.47,-2.65,10.62,-8.6,-15.91,1
272,-686.18,22.86,-38.76,349.42,34.37,1
273,-379.26,-13.72,12.55,-121.22,2.59,1
274,-681.13,11.78,8.51,262.17,-6.13,1
275,141.72,25.6,-25.66,270.12,27.57,1
276,-118.99,27.26,-42.42,-3.19,22.62,1
277,386.99,4.77,-42.64,-25.87,41.21,1
278,522.31,40.93,7.02,-24.49,25.38,1
279,-527.31,45.02,25.69,335.11,45.27,1
280,-577.43,37.76,-21.21,353.35,-7.04,1
281,-484.53,-12.64,12.56,296.38,30.72,1
282,203.29,35.44,10.17,-41.5,-4.91,1
283,-431.98,26.72,25.13,-65.98,42.6,1
284,-438.57,-1.45,-1.87,185.72,35.51,1
285,-349.13,-13.08,22.48,-144.88,-21.11,1
286,-523.81,38.03,-0.55,293.09,-13.08,1
287,-389.58,26.06,-6.86,-177.03,41.58,1
288,-603.51,7.78,-7.72,137.89,9.4,1
289,-660.7,-4.1,24.49,-14.59,-20.11,1
290,-669.54,19.82,22.39,-47.52,8.63,1
291,-764.5,39.18,-22.8,129.26,-8.69,1
292,398.59,32.98,-16.63,315.88,-9.63,1
293,-59.98,8.42,18.85,229.14,13.02,1
294,-675.67,-1.57,14.25,-71.98,-8.84,1
295,437.73,8.26,15.1,-141.57,39.15,1
296,-526.55,-3.73,-9.03,-62.52,37.78,1
297,-437.0,30.23,16.59,-21.5,22.68,1
298,-726.11,15.06,-20.31,155.86,41.52,1
299,116.2,-9.0,-11.7,-82.97,-17.97,1
300,509.03,44.25,-37.39,-134.25,40.3,1
301,-574.15,6.9,-38.83,-103.64,-21.94,1
302,-731.35,26.42,12.55,-59.21,30.53,1
303,415.93,-15.3,-33.37,72.87,13.11,1
304,395.69,12.88,10.7,56.54,-9.31,1
305,-475.27,-12.4,-16.18,-30.4,-7.79,1
306,245.04,41.7,5.38,261.66,13.56,1
307,-746.44,-13.55,0.03,256.65,29.22,1
308,446.42,33.08,-29.7,318.61,-18.94,1
309,460.48,26.35,21.18,67.27,14.23,1
310,141.67,10.22,10.33,-69.88,43.57,1
311,293.74,27.87,-7.75,309.12,0.22,1
312,432.37,45.32,-1.59,84.68,33.65,1
313,-600.13,-16.99,-7.86,157.83,15.13,1
314,514.72,41.12,-33.86,292.62,45.42,1
315,260.52,20.54,-34.08,-158.44,-4.8,1
316,-660.83,14.34,-38.78,-92.42,9.2,1
317,581.59,30.85,-1.99,325.33,33.92,1
318,-431.44,11.47,13.48,-96.91,26.88,1
319,-588.3,6.19,-38.2,-4.03,-15.03,1
320,-708.56,6.69,23.35,322.39,8.03,1
321,234.9,24.68,-40.93,301.06,38.36,1
322,-167.9,34.14,-41.04,225.59,28.41,1
323,-41.96,30.89,-41.65,338.34,32.77,1
324,254.43,34.71,-6.59,213.9,25.13,1
325,310.18,-16.18,20.99,7.2,14.07,1
326,34.98,-1.18,17.5,108.91,38.95,1
327,-479.8,-10.13,-27.24,-4.72,18.91,1
328,-331.36,32.9,25.71,47.02,18.0,1
329,-697.67,20.21,16.06,324.84,-8.12,1
330,552.68,42.85,-30.17,354.42,26.59,1
331,-746.83,8.61,-2.16,-24.85,4.74,1
332,-347.49,19.01,7.28,223.45,33.32,1
333,-630.73,-6.08,-24.96,53.71,27.39,1
334,391.77,-8.89,24.39,-146.69,42.3,1
335,-393.07,31.82,12.64,81.43,-12.55,1
336,540.16,21.61,-39.74,-113.69,13.41,1
337,400.19,14.46,-5.93,-9.64,19.12,1
338,86.59,45.34,-33.58,27.22,4.05,1
339,-146.39,35.58,-19.4,321.61,-17.36,1
340,459.44,-9.41,-22.89,-60.3,10.83,1
341,-431.21,16.52,7.43,34.23,17.13,1
342,230.6,21.92,-29.37,227.57,27.36,1
343,515.19,-10.87,-10.0,-143.97,-8.64,1
344,-442.64,45.58,-33.2,132.3,29.24,1
345,333.85,22.52,12.34,-173.66,39.87,1
346,-523.23,1.36,-9.99,-125.79,12.49,1
347,-726.9,45.37,-36.98,139.23,-10.69,1
348,488.78,7.36,-13.06,148.63,22.51,1
349,367.74,31.33,2.92,45.0,-1.91,1
350,-334.48,-16.75,22.46,191.04,38.63,1
351,226.44,42.91,-40.82,287.46,21.85,1
352,286.51,36.36,13.57,-2.28,15.16,1
353,526.35,40.38,2.81,-73.03,-20.81,1
354,476.32,11.68,-27.2,34.96,31.07,1
355,36.75,-16.83,-37.52,22.05,35.09,1
356,-648.0,5.01,23.71,218.29,39.48,1
357,544.31,36.7,4.63,347.94,25.17,1
358,-226.4,18.61,-15.94,261.89,-18.07,1
359,-40.95,-4.91,11.33,67.17,-19.6,1
360,-128.48,41.42,-24.13,301.73,10.75,1
361,-8.47,5.15,25.49,-52.01,1.46,1
362,279.1,15.46,-20.81,355.12,38.23,1
363,248.04,30.53,-29.18,-23.8,5.12,1
364,-691.58,4.33,-5.71,-171.89,33.73,1
365,-736.76,-8.79,-42.83,181.89,11.81,1
366,-700.0,5.58,-41.82,-73.5,35.03,1
367,-423.25,-4.18,-10.05,30.59,41.48,1
368,475.47,-5.88,6.7,-29.59,20.51,1
369,-355.42,19.53,-17.41,-56.31,-18.77,1
370,-60.05,-13.48,-42.71,221.65,21.73,1
371,-251.09,-4.08,3.48,316.22,-0.97,1
372,143.13,-5.8,21.62,143.4,37.77,1
373,-23.52,-9.25,8.81,39.77,14.88,1
374,458.57,20.54,-22.42,334.39,29.98,1
375,90.1,-7.54,-37.17,-149.41,20.56,1
376,-47.52,24.36,21.18,318.45,11.83,1
377,-448.58,-11.74,15.88,-14.33,28.06,1
378,288.98,1.3,-20.08,-42.6,-10.53,1
379,-574.85,42.01,-15.37,35.79,-11.35,1
380,251.04,42.57,-0.78,118.16,11.04,1
381,564.53,30.56,17.17,48.99,33.01,1
382,-700.01,-2.73,-26.47,-77.17,-7.58,1
383,223.99,28.74,-42.02,-71.55,29.7,1
384,-454.26,-3.16,12.94,123.07,31.16,1
385,-278.5,-14.87,10.19,-48.83,16.17,1
386,-194.99,8.8,1.85,233.04,-10.49,1
387,259.45,33.69,-6.5,-136.38,3.49,1
388,-14.87,-6.03,-37.34,267.21,-6.36,1
389,-306.94,4.82,6.45,58.7,28.82,1
390,-604.05,-10.11,-26.58,199.56,26.96,1
391,-331.95,9.3,-8.29,315.35,45.4,1
392,62.36,23.75,-33.06,-72.88,12.1,1
393,550.71,-0.3,16.67,-155.98,34.7,1
394,48.79,10.06,-37.01,286.88,-9.51,1
395,515.21,-3.94,19.63,192.29,4.62,1
396,-260.02,41.84,18.88,110.85,21.78,1
397,-772.55,-9.16,-2.95,342.1,17.55,1
398,320.37,15.83,7.67,341.44,32.96,1
399,312.57,31.88,-25.38,-8.94,-21.76,1
400,-451.52,40.98,-34.84,-36.17,0.48,1
401,-26.46,41.08,2.57,-156.91,-13.84,1
402,391.89,-3.59,16.89,236.16,-22.02,1
403,-180.5,11.05,-40.06,174.49,-15.2,1
404,-378.76,-4.83,-8.4,-127.57,17.87,1
405,14.98,43.58,-42.53,141.08,25.48,1
406,540.09,17.69,-18.23,175.59,36.84,1
407,544.63,25.85,8.36,-77.02,-16.25,1
408,-730.97,-1.16,-21.31,223.04,41.96,1
409,142.3,36.42,-22.4,-113.48,-6.69,1
410,298.61,26.57,8.05,-38.62,7.88,1
411,-641.65,-2.71,-3.92,239.67,24.48,1
412,379.48,4.13,-9.93,-149.29,19.09,1
413,558.77,-9.94,-28.78,9.64,-9.12,1
414,526.11,10.41,-4.23,287.46,0.03,1
415,-546.81,16.69,17.98,274.3,-14.56,1
416,-350.88,0.26,-17.51,79.88,41.32,1
417,-593.84,22.53,-40.47,243.94,-16.21,1
418,-775.54,-0.53,-35.22,316.08,-17.08,1
419,541.2,32.78,-23.45,58.03,32.07,1
420,-631.78,9.42,-23.44,-155.27,-2.53,1
421,-234.21,19.05,5.18,345.64,11.95,1
422,-590.7,-3.93,6.84,52.47,40.03,1
423,284.85,-10.32,-36.9,-81.26,45.22,1
424,-653.8,-13.75,13.54,168.27,42.5,1
425,519.37,26.75,-30.1,317.93,-10.25,1
426,204.01,38.78,-1.18,22.32,-10.03,1
427,-716.39,16.26,5.02,-113.32,45.01,1
428,-754.69,14.48,15.6,235.6,-10.27,1
429,-230.3,-16.77,16.73,278.75,20.99,1
430,-399.64,-2.55,24.63,352.16,45.43,1
431,-628.84,29.69,-3.99,-8.59,-16.89,1
432,-129.89,38.19,-29.2,195.63,42.9,1
433,279.42,3.56,-12.26,336.51,-4.93,1
434,-458.64,41.09,15.14,-105.71,13.08,1
435,510.66,-15.64,-28.6,-83.01,34.65,1
436,-737.77,-0.31,-8.4,324.9,-14.68,1
437,-745.18,38.24,-41.14,330.12,15.2,1
438,267.24,32.15,1.69,51.45,1.59,1
439,-705.5,-14.9,4.41,-92.76,-12.57,1
440,-653.87,43.2,-3.19,-141.09,17.11,1
441,-700.09,19.65,-40.21,341.59,29.81,1
442,-193.68,40.63,-33.78,-80.42,10.29,1
443,80.66,32.18,-1.84,309.52,-6.44,1
444,-285.75,1.74,-5.94,5.64,42.74,1
445,-568.36,-10.39,-42.69,-72.22,-22.05,1
446,-470.73,16.3,23.11,18.85,-3.69,1
447,184.11,0.32,-32.4,144.32,7.81,1
448,-551.25,24.17,17.53,55.26,9.28,1
449,343.33,23.5,15.44,211.64,24.31,1
450,-639.29,6.12,9.66,-24.14,14.65,1
451,-582.68,18.72,2.43,348.89,-13.71,1
452,235.71,39.56,2.42,25.48,-7.07,1
453,-193.77,-13.65,23.4,187.0,29.82,1
454,-674.55,12.06,4.62,-175.73,-11.43,1
455,548.68,16.12,3.92,152.53,14.16,1
456,399.32,29.35,-18.64,73.48,22.48,1
457,-249.24,-9.04,-40.91,-67.85,44.86,1
458,450.06,-5.5,-17.21,276.61,42.97,1
459,69.1,13.9,-32.54,235.48,-13.05,1
460,347.54,28.88,11.14,228.21,15.82,1
461,209.35,-10.76,-19.19,-60.51,31.76,1
462,-584.86,44.16,22.63,-141.93,-21.15,1
463,-716.42,-4.75,-24.01,-47.34,38.79,1
464,553.79,20.44,-5.47,-18.76,-20.19,1
465,436.55,16.23,-19.55,86.6,34.34,1
466,-677.78,38.06,-29.53,84.42,-21.94,1
467,-660.89,-13.3,-39.17,242.18,2.25,1
468,-402.48,-11.39,-26.51,295.39,0.8,1
469,-649.59,11.28,8.29,278.54,9.34,1
470,273.48,43.04,9.97,61.76,18.32,1
471,478.24,-0.27,-19.39,122.72,-2.77,1
472,305.36,21.01,-21.09,248.9,28.87,1
473,345.18,11.66,-40.04,344.51,17.59,1
474,494.79,16.28,24.4,139.52,5.98,1
475,-181.74,39.73,-41.77,82.94,27.04,1
476,85.45,1.05,-38.59,166.09,37.76,1
477,263.08,-13.17,-39.35,-122.72,-18.32,1
478,-516.7,20.87,18.52,80.91,6.88,1
479,-183.75,41.75,19.99,-157.93,-17.85,1
480,429.64,9.0,-6.13,145.83,-12.04,1
481,231.11,31.96,-14.29,281.26,-15.49,1
482,354.51,-2.66,-42.94,230.39,-1.41,1
483,508.87,33.28,-0.05,66.54,19.07,1
484,-755.18,37.08,5.07,306.08,9.03,1
485,-589.24,20.23,-10.62,37.06,45.42,1
486,110.12,-8.94,13.26,-14.2,44.24,1
487,570.48,10.39,-40.4,309.62,-8.51,1
488,131.08,45.25,13.83,135.18,-21.54,1
489,235.2,22.37,-23.95,-15.81,-15.38,1
490,-600.73,1.67,-29.48,-94.69,36.8,1
491,-692.22,-7.84,-10.6,-7.31,8.64,1
492,-503.73,-16.41,-22.64,344.92,28.38,1
493,466.79,-7.68,-36.27,238.34,26.57,1
494,282.96,38.08,-13.44,196.12,30.16,1
495,168.39,42.34,-5.99,-31.63,26.6,1
496,475.45,31.06,-38.5,-103.8,16.64,1
497,466.02,-13.21,-41.28,204.92,22.62,1
498,-414.96,-11.92,19.21,-128.88,-21.29,1
499,515.41,-13.66,15.85,188.0,-15.87,1
500,-618.44,44.49,-7.25,177.87,0.81,1
501,-306.34,5.76,3.59,66.32,45.61,1
502,357.2,25.18,-34.26,101.22,41.59,1
503,537.92,24.14,-33.95,9.62,-4.78,1
504,-168.86,32.1,-32.17,-61.58,31.29,1
505,442.05,-13.65,-16.12,-60.75,-9.7,1
506,-716.85,14.39,-14.9,-164.94,-7.23,1
507,78.89,42.75,-38.15,65.04,39.74,1
508,191.98,38.69,4.45,73.84,8.36,1
509,420.07,0.67,-21.15,293.49,-14.35,1
510,-597.45,7.21,-7.86,-175.97,25.22,1
511,-380.44,-2.65,-4.09,349.26,6.05,1
512,380.45,-2.51,-5.63,235.46,35.22,1
513,-622.9,39.69,-8.66,-160.95,-21.24,1
514,29.45,17.12,-24.69,-28.91,39.65,1
515,-585.53,8.03,20.54,288.91,-10.45,1
516,172.08,8.26,-25.51,274.34,36.11,1
517,-345.42,4.74,-5.33,-3.43,35.08,1
518,292.63,29.74,-12.12,-159.86,4.37,1
519,464.38,18.96,-18.8,257.09,13.7,1
520,469.53,-2.81,3.98,-61.87,-19.95,1
521,87.98,14.17,-34.96,138.14,43.97,1
522,-429.69,19.9,-4.47,264.66,-21.53,1
523,137.96,3.22,-37.44,355.62,2.09,1
524,-579.33,-12.89,-39.39,246.6,28.72,1
525,-694.39,-1.46,13.24,340.45,7.22,1
526,-706.93,-11.02,-11.56,138.28,31.09,1
527,558.89,0.83,-25.96,64.69,6.6,1
528,-160.67,34.82,-33.73,-176.1,29.0,1
529,346.54,20.18,-36.35,-11.51,10.35,1
530,-682.68,25.57,7.39,328.89,-9.83,1
531,-544.12,18.96,-19.57,207.82,37.67,1
